Мотор;x;y;z;time;
;0,05110931;0,1186597;2,148183;16,21028;
;0,05112849;0,1186545;2,148183;16,22028;
;0,05114232;0,118632;2,148183;16,23028;
;0,05115367;0,1185666;2,148183;16,24028;
;0,05116883;0,1184852;2,148183;16,25028;
;0,05118919;0,1183869;2,148183;16,26028;
;0,05118919;0,1183869;2,148183;16,27028;
;0,05122215;0,1182361;2,148183;16,28028;
;0,05126143;0,1180954;2,148183;16,29028;
;0,05130953;0,1178749;2,148183;16,30028;
;0,05136599;0,1176543;2,148183;16,31028;
;0,05136599;0,1176543;2,148183;16,32028;
;0,05142234;0,1174262;2,148183;16,33028;
;0,05149193;0,1170887;2,148183;16,34028;
;0,05149193;0,1170887;2,148183;16,35028;
;0,05159193;0,1167857;2,148183;16,36028;
;0,05151064;0,1169203;2,148183;16,37028;
;0,05138474;0,1172012;2,148183;16,38028;
;0,05130488;0,1174266;2,148183;16,39028;
;0,05130488;0,1174266;2,148183;16,40028;
;0,0512622;0,1177023;2,148183;16,41028;
;0,05124294;0,1178961;2,148183;16,42028;
;0,0512161;0,1181135;2,148183;16,43028;
;0,05118911;0,1182646;2,148183;16,44028;
;0,05116255;0,1183811;2,148183;16,45028;
;0,05114016;0,1184728;2,148183;16,46028;
;0,05114016;0,1184728;2,148183;16,47028;
;0,05112069;0,1185697;2,148183;16,48028;
;0,05111048;0,1186252;2,148183;16,49028;
;0,05110893;0,118652;2,148183;16,50028;
;0,05110893;0,118652;2,148183;16,51028;
;0,05111625;0,1186603;2,148183;16,52028;
;0,05113089;0,1186418;2,148183;16,53028;
;0,05116492;0,118575;2,148183;16,54028;
;0,05118738;0,1184926;2,148183;16,55028;
;0,05120069;0,1183971;2,148183;16,56028;
;0,05120069;0,1183971;2,148183;16,57028;
;0,05121867;0,1182595;2,148183;16,58028;
;0,0512489;0,1181234;2,148183;16,59028;
;0,05129386;0,117904;2,148183;16,60028;
;0,05129386;0,117904;2,148183;16,61028;
;0,05134731;0,117697;2,148183;16,62029;
;0,05139918;0,1174868;2,148183;16,63029;
;0,05146311;0,1171674;2,148183;16,64029;
;0,05155896;0,1168801;2,148183;16,65029;
;0,05155896;0,1168801;2,148183;16,66029;
;0,05156319;0,1167762;2,148183;16,67029;
;0,05149039;0,1169587;2,148183;16,68029;
;0,05140517;0,1172657;2,148183;16,69029;
;0,05134459;0,1175001;2,148183;16,70029;
;0,05134459;0,1175001;2,148183;16,71029;
;0,05129814;0,117708;2,148183;16,72029;
;0,05125076;0,1179422;2,148183;16,73029;
;0,05125076;0,1179422;2,148183;16,74029;
;0,05121489;0,118099;2,148183;16,75029;
;0,05118046;0,1182767;2,148183;16,76029;
;0,05118046;0,1182767;2,148183;16,77029;
;0,05115591;0,1183947;2,148183;16,78029;
;0,0511372;0,1184923;2,148183;16,79029;
;0,05112209;0,1185807;2,148183;16,80029;
;0,05111289;0,1186281;2,148183;16,81029;
;0,05111289;0,1186281;2,148183;16,82029;
;0,05110128;0,1186602;2,148183;16,83029;
;0,05109302;0,118658;2,148183;16,84029;
;0,05109179;0,1186305;2,148183;16,85029;
;0,05111748;0,1185757;2,148183;16,86029;
;0,0511496;0,1185081;2,148183;16,87029;
;0,0511496;0,1185081;2,148183;16,88029;
;0,05118588;0,1183823;2,148183;16,89029;
;0,05122058;0,1182626;2,148183;16,90029;
;0,05126113;0,1180706;2,148183;16,91029;
;0,05130345;0,1178937;2,148183;16,92029;
;0,05130345;0,1178937;2,148183;16,93029;
;0,05134275;0,1176333;2,148183;16,94029;
;0,05137962;0,1173981;2,148183;16,95029;
;0,05144965;0,117158;2,148183;16,96029;
;0,05159883;0,1167959;2,148183;16,97029;
;0,05159883;0,1167959;2,148183;16,98029;
;0,05155211;0,1168799;2,148183;16,99029;
;0,05144539;0,1170867;2,148183;17,00029;
;0,05136257;0,117382;2,148183;17,01029;
;0,05131711;0,1176149;2,148183;17,02029;
;0,05131711;0,1176149;2,148183;17,03029;
;0,05128162;0,117874;2,148183;17,04029;
;0,05125717;0,1180525;2,148183;17,05029;
;0,05122437;0,1181966;2,148183;17,0603;
;0,05118123;0,1183484;2,148183;17,0703;
;0,05114945;0,1184491;2,148183;17,0803;
;0,05114945;0,1184491;2,148183;17,0903;
;0,05113001;0,1185315;2,148183;17,1003;
;0,05111638;0,1186047;2,148183;17,1103;
;0,05110951;0,1186466;2,148183;17,1203;
;0,05110951;0,1186466;2,148183;17,1303;
;0,05111033;0,1186619;2,148183;17,1403;
;0,05111746;0,1186456;2,148183;17,1503;
;0,05113335;0,118595;2,148183;17,1603;
;0,05115379;0,1185298;2,148183;17,1703;
;0,05117453;0,1184564;2,148183;17,1803;
;0,05117453;0,1184564;2,148183;17,1903;
;0,05120109;0,1183205;2,148183;17,2003;
;0,05120109;0,1183205;2,148183;17,2103;
;0,0512331;0,1181717;2,148183;17,2203;
;0,0512655;0,1180144;2,148183;17,2303;
;0,05130656;0,1177705;2,148182;17,2403;
;0,05136664;0,1175441;2,148182;17,2503;
;0,0514303;0,1172955;2,148182;17,2603;
;0,0514303;0,1172955;2,148182;17,2703;
;0,05149421;0,1170061;2,148182;17,2803;
;0,05165585;0,1167043;2,148182;17,2903;
;0,0515576;0,1167835;2,148182;17,3003;
;0,05139465;0,1170817;2,148182;17,3103;
;0,05139465;0,1170817;2,148182;17,3203;
;0,05131546;0,1173559;2,148182;17,3303;
;0,0512893;0,117597;2,148182;17,3403;
;0,05126761;0,1177996;2,148182;17,3503;
;0,05123076;0,1180269;2,148182;17,3603;
;0,05119779;0,1181768;2,148182;17,3703;
;0,0511728;0,1182975;2,148182;17,3803;
;0,0511728;0,1182975;2,148182;17,3903;
;0,05114867;0,1184338;2,148182;17,4003;
;0,05113029;0,1185188;2,148182;17,4103;
;0,05110961;0,118594;2,148182;17,4203;
;0,05108874;0,1186391;2,148182;17,4303;
;0,05108874;0,1186391;2,148182;17,4403;
;0,05106765;0,1186596;2,148182;17,4503;
;0,05108596;0,1186493;2,148182;17,4603;
;0,05108596;0,1186493;2,148182;17,4703;
;0,05111482;0,1186121;2,148182;17,4803;
;0,05114089;0,118548;2,148182;17,4903;
;0,05116501;0,1184694;2,148182;17,50031;
;0,05119173;0,118365;2,148182;17,51031;
;0,05122484;0,1182308;2,148182;17,52031;
;0,05126176;0,1180786;2,148182;17,53031;
;0,05130988;0,117837;2,148182;17,54031;
;0,05130988;0,117837;2,148182;17,55031;
;0,05136535;0,1175994;2,148182;17,56031;
;0,05141532;0,117339;2,148182;17,57031;
;0,0514465;0,1170776;2,148182;17,58031;
;0,05151764;0,1167801;2,148182;17,59031;
;0,051505;0,1164927;2,148182;17,60031;
;0,0514883;0,1167401;2,148182;17,61031;
;0,05144446;0,1169946;2,148182;17,62031;
;0,05144446;0,1169946;2,148182;17,63031;
;0,05137288;0,1173336;2,148182;17,64031;
;0,05131545;0,1175678;2,148182;17,65031;
;0,05125454;0,1178155;2,148182;17,66031;
;0,05120557;0,1179918;2,148182;17,67031;
;0,05117265;0,1181381;2,148182;17,68031;
;0,05117265;0,1181381;2,148182;17,69031;
;0,05115567;0,1182907;2,148182;17,70031;
;0,05114984;0,1184048;2,148182;17,71031;
;0,05115173;0,1185139;2,148182;17,72031;
;0,05114053;0,1185873;2,148182;17,73031;
;0,05114053;0,1185873;2,148182;17,74031;
;0,05111968;0,1186393;2,148182;17,75031;
;0,05110701;0,1186603;2,148182;17,76031;
;0,0511098;0,1186511;2,148182;17,77031;
;0,05112218;0,118614;2,148182;17,78031;
;0,0511395;0,1185662;2,148182;17,79031;
;0,0511395;0,1185662;2,148182;17,80031;
;0,0511652;0,1184677;2,148182;17,81031;
;0,05119595;0,1183599;2,148182;17,82031;
;0,05122557;0,1182453;2,148182;17,83031;
;0,05126248;0,1180614;2,148182;17,84031;
;0,05130326;0,1178857;2,148182;17,85031;
;0,05130326;0,1178857;2,148182;17,86031;
;0,05134567;0,117603;2,148182;17,87031;
;0,05139;0,1173793;2,148182;17,88031;
;0,05144692;0,1171446;2,148182;17,89031;
;0,05152188;0,1167828;2,148182;17,90031;
;0,05152188;0,1167828;2,148182;17,91031;
;0,05147566;0,1166834;2,148182;17,92031;
;0,05143809;0,1168935;2,148182;17,93032;
;0,05141247;0,1171116;2,148182;17,94032;
;0,05136738;0,1173886;2,148182;17,95032;
;0,05136738;0,1173886;2,148182;17,96032;
;0,05132051;0,1176027;2,148182;17,97032;
;0,05127385;0,1177901;2,148182;17,98032;
;0,05122015;0,1179642;2,148182;17,99032;
;0,05116717;0,1181243;2,148182;18,00032;
;0,05115002;0,1182676;2,148182;18,01032;
;0,05114027;0,1184293;2,148182;18,02032;
;0,05112788;0,1185295;2,148182;18,03032;
;0,05112788;0,1185295;2,148182;18,04032;
;0,05111498;0,1185969;2,148182;18,05032;
;0,05110497;0,1186347;2,148182;18,06032;
;0,05109723;0,1186603;2,148182;18,07032;
;0,05108795;0,118662;2,148182;18,08032;
;0,05108341;0,1186381;2,148182;18,09032;
;0,05111459;0,1185814;2,148182;18,10032;
;0,05111459;0,1185814;2,148182;18,11032;
;0,05115362;0,1184995;2,148182;18,12032;
;0,05119428;0,118389;2,148182;18,13032;
;0,05125609;0,1181855;2,148182;18,14032;
;0,05125609;0,1181855;2,148182;18,15032;
;0,05129035;0,1179741;2,148182;18,16032;
;0,05134552;0,1177418;2,148182;18,17032;
;0,0514056;0,1174693;2,148182;18,18032;
;0,05147344;0,1171064;2,148182;18,19032;
;0,05153752;0,1168953;2,148182;18,20032;
;0,05153752;0,1168953;2,148182;18,21032;
;0,0514931;0,1166777;2,148182;18,22032;
;0,05144055;0,1167589;2,148182;18,23032;
;0,05141637;0,1169501;2,148182;18,24032;
;0,05141637;0,1169501;2,148182;18,25032;
;0,05136869;0,1173376;2,148182;18,26032;
;0,05133884;0,1175292;2,148182;18,27032;
;0,05133884;0,1175292;2,148182;18,28032;
;0,05128861;0,117805;2,148182;18,29032;
;0,05125241;0,1179674;2,148182;18,30032;
;0,05125241;0,1179674;2,148182;18,31032;
;0,05121324;0,1181591;2,148182;18,32032;
;0,05118288;0,1183123;2,148182;18,33032;
;0,05115561;0,1184294;2,148182;18,34032;
;0,0511357;0,118529;2,148182;18,35032;
;0,05112898;0,1185946;2,148182;18,36032;
;0,05112264;0,1186441;2,148182;18,37033;
;0,05111995;0,1186624;2,148182;18,38033;
;0,05111995;0,1186624;2,148182;18,39033;
;0,05112661;0,1186462;2,148182;18,40033;
;0,05113621;0,118605;2,148182;18,41033;
;0,05114973;0,1185366;2,148182;18,42033;
;0,05117027;0,1184526;2,148182;18,43033;
;0,05119687;0,1183441;2,148182;18,44033;
;0,0512293;0,1182052;2,148182;18,45033;
;0,05127274;0,1180114;2,148182;18,46033;
;0,05132185;0,117819;2,148182;18,47033;
;0,05137217;0,1176027;2,148182;18,48033;
;0,05142934;0,1173362;2,148182;18,49033;
;0,05149354;0,1170632;2,148182;18,50033;
;0,05155509;0,1168161;2,148182;18,51033;
;0,05155509;0,1168161;2,148182;18,52033;
;0,05152617;0,1166686;2,148182;18,53033;
;0,05152617;0,1166686;2,148182;18,54033;
;0,05146787;0,116943;2,148182;18,55033;
;0,05141253;0,1172083;2,148182;18,56033;
;0,05136384;0,1174331;2,148182;18,57033;
;0,05136384;0,1174331;2,148182;18,58033;
;0,05131695;0,1177031;2,148182;18,59033;
;0,05126984;0,1179276;2,148182;18,60033;
;0,05119424;0,1182277;2,148182;18,61033;
;0,05119424;0,1182277;2,148182;18,62033;
;0,05115907;0,1184066;2,148182;18,63033;
;0,05113383;0,1185113;2,148182;18,64033;
;0,05111945;0,1185787;2,148182;18,65033;
;0,05111315;0,118632;2,148182;18,66033;
;0,05111292;0,1186567;2,148182;18,67033;
;0,05111703;0,1186601;2,148182;18,68033;
;0,05112573;0,118638;2,148182;18,69033;
;0,0511389;0,1185846;2,148182;18,70033;
;0,05115572;0,1184953;2,148182;18,71033;
;0,05115572;0,1184953;2,148182;18,72033;
;0,0511739;0,1183745;2,148182;18,73033;
;0,0511739;0,1183745;2,148182;18,74033;
;0,0512329;0,1181445;2,148182;18,75033;
;0,0512329;0,1181445;2,148182;18,76033;
;0,05129087;0,1179351;2,148182;18,77033;
;0,05135806;0,1176976;2,148182;18,78033;
;0,051427;0,1174459;2,148182;18,79033;
;0,05149376;0,1171759;2,148182;18,80033;
;0,05158308;0,1168164;2,148182;18,81034;
;0,05156646;0,1167444;2,148182;18,82034;
;0,05148093;0,1169611;2,148182;18,83034;
;0,05141343;0,1171972;2,148182;18,84034;
;0,05134106;0,1175771;2,148182;18,85034;
;0,05134106;0,1175771;2,148182;18,86034;
;0,0512977;0,1177991;2,148182;18,87034;
;0,0512515;0,1180084;2,148182;18,88034;
;0,05121237;0,1181734;2,148182;18,89034;
;0,05117678;0,1183294;2,148182;18,90034;
;0,05114773;0,1184628;2,148182;18,91034;
;0,05111725;0,1186032;2,148182;18,92034;
;0,05111725;0,1186032;2,148182;18,93034;
;0,05111338;0,1186432;2,148182;18,94034;
;0,05111473;0,1186623;2,148182;18,95034;
;0,05112353;0,1186505;2,148182;18,96034;
;0,05115784;0,1185715;2,148182;18,97034;
;0,05115784;0,1185715;2,148182;18,98034;
;0,05118664;0,1184743;2,148182;18,99034;
;0,05123427;0,118343;2,148182;19,00034;
;0,05123427;0,118343;2,148182;19,01034;
;0,05128964;0,1180621;2,148182;19,02034;
;0,05128964;0,1180621;2,148182;19,03034;
;0,05132018;0,1178615;2,148182;19,04034;
;0,05137198;0,1176128;2,148182;19,05034;
;0,05143607;0,1173535;2,148182;19,06034;
;0,05151425;0,1170462;2,148182;19,07034;
;0,05151573;0,1167168;2,148182;19,08034;
;0,05144353;0,1170622;2,148182;19,09034;
;0,05144353;0,1170622;2,148182;19,10034;
;0,05139245;0,117357;2,148182;19,11034;
;0,05139245;0,117357;2,148182;19,12034;
;0,05133306;0,1176496;2,148182;19,13034;
;0,05129241;0,1178128;2,148182;19,14034;
;0,05129241;0,1178128;2,148182;19,15034;
